"Statistic Label","Year","Item","UNIT","VALUE"
"Consumption of Personal Income at Current Market Prices","1998","Expenditure by non-residents","Euro Million","1985"
"Consumption of Personal Income at Current Market Prices","1998","158. Personal consumption of goods and services at current market prices","Euro Million","39978"
"Consumption of Personal Income at Current Market Prices","1998","159. Taxes on personal income and wealth","Euro Million","10898"
"Consumption of Personal Income at Current Market Prices","1998","160. Total personal expenditure","Euro Million","50876"
"Consumption of Personal Income at Current Market Prices","1998","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","6972"
"Consumption of Personal Income at Current Market Prices","1998","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","46950"
"Consumption of Personal Income at Current Market Prices","1999","CP01 - Food and non-alcoholic beverages","Euro Million","4843"
"Consumption of Personal Income at Current Market Prices","1999","CP011 - Food","Euro Million","4277"
"Consumption of Personal Income at Current Market Prices","1999","CP012 - Non-alcoholic beverages","Euro Million","566"
"Consumption of Personal Income at Current Market Prices","1999","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","3203"
"Consumption of Personal Income at Current Market Prices","1999","CP021 - Alcoholic beverages","Euro Million","1086"
"Consumption of Personal Income at Current Market Prices","1999","CP022 - Tobacco","Euro Million","1565"
"Consumption of Personal Income at Current Market Prices","1999","CP023 - Narcotics","Euro Million","552"
"Consumption of Personal Income at Current Market Prices","1999","CP03 - Clothing and footwear","Euro Million","2863"
"Consumption of Personal Income at Current Market Prices","1999","CP031 - Clothing","Euro Million","2393"
"Consumption of Personal Income at Current Market Prices","1999","CP032 - Footwear","Euro Million","470"
"Consumption of Personal Income at Current Market Prices","1999","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","7526"
"Consumption of Personal Income at Current Market Prices","1999","CP041 - Actual rentals for housing","Euro Million","825"
"Consumption of Personal Income at Current Market Prices","1999","CP042 - Imputed rentals for housing","Euro Million","5217"
"Consumption of Personal Income at Current Market Prices","1999","CP043 - Maintenance and repair of the dwelling","Euro Million","160"
"Consumption of Personal Income at Current Market Prices","1999","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","8"
"Consumption of Personal Income at Current Market Prices","1999","CP045 - Electricity, gas and other fuels","Euro Million","1316"
"Consumption of Personal Income at Current Market Prices","1999","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","3176"
"Consumption of Personal Income at Current Market Prices","1999","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","910"
"Consumption of Personal Income at Current Market Prices","1999","CP052 - Household textiles","Euro Million","269"
"Consumption of Personal Income at Current Market Prices","1999","CP053 - Household appliances","Euro Million","509"
"Consumption of Personal Income at Current Market Prices","1999","CP054 - Glassware, tableware and household utensils","Euro Million","445"
"Consumption of Personal Income at Current Market Prices","1999","CP055 - Tools and equipment for house and garden","Euro Million","21"
"Consumption of Personal Income at Current Market Prices","1999","CP056 - Goods and services for routine household maintenance","Euro Million","1023"
"Consumption of Personal Income at Current Market Prices","1999","CP06 - Health","Euro Million","1106"
"Consumption of Personal Income at Current Market Prices","1999","CP061 - Medical products, appliances and equipment","Euro Million","371"
"Consumption of Personal Income at Current Market Prices","1999","CP062 - Out-patient services","Euro Million","281"
"Consumption of Personal Income at Current Market Prices","1999","CP063 - Hospital services","Euro Million","454"
"Consumption of Personal Income at Current Market Prices","1999","CP07 - Transport","Euro Million","5153"
"Consumption of Personal Income at Current Market Prices","1999","CP071 - Purchase of vehicles","Euro Million","2375"
"Consumption of Personal Income at Current Market Prices","1999","CP072 - Operation of personal transport equipment","Euro Million","1808"
"Consumption of Personal Income at Current Market Prices","1999","CP073 - Transport services","Euro Million","970"
"Consumption of Personal Income at Current Market Prices","1999","CP08 - Communications","Euro Million","833"
"Consumption of Personal Income at Current Market Prices","1999","CP081 - Postal services","Euro Million","39"
"Consumption of Personal Income at Current Market Prices","1999","CP082 - Telephone and telefax equipment","Euro Million","11"
"Consumption of Personal Income at Current Market Prices","1999","CP083 - Telephone and telefax services","Euro Million","784"
"Consumption of Personal Income at Current Market Prices","1999","CP09 - Recreation and culture","Euro Million","3080"
"Consumption of Personal Income at Current Market Prices","1999","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","306"
"Consumption of Personal Income at Current Market Prices","1999","CP092 - Other major durables for recreation and culture","Euro Million","6"
"Consumption of Personal Income at Current Market Prices","1999","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","610"
"Consumption of Personal Income at Current Market Prices","1999","CP094 - Recreational and cultural services","Euro Million","1398"
"Consumption of Personal Income at Current Market Prices","1999","CP095 - Newspapers, books and stationery","Euro Million","575"
"Consumption of Personal Income at Current Market Prices","1999","CP096 - Package holidays","Euro Million","185"
"Consumption of Personal Income at Current Market Prices","1999","CP10 - Education","Euro Million","429"
"Consumption of Personal Income at Current Market Prices","1999","CP101 - Pre-primary and primary education","Euro Million","44"
"Consumption of Personal Income at Current Market Prices","1999","CP102 - Secondary education","Euro Million","66"
"Consumption of Personal Income at Current Market Prices","1999","CP103 - Post-secondary non-tertiary education","Euro Million","17"
"Consumption of Personal Income at Current Market Prices","1999","CP104 - Tertiary education","Euro Million","197"
"Consumption of Personal Income at Current Market Prices","1999","CP105 - Education not definable by level","Euro Million","105"
"Consumption of Personal Income at Current Market Prices","1999","CP11 - Restaurants and hotels","Euro Million","6404"
"Consumption of Personal Income at Current Market Prices","1999","CP111 - Catering services","Euro Million","5728"
"Consumption of Personal Income at Current Market Prices","1999","CP112 - Accommodation services","Euro Million","676"
"Consumption of Personal Income at Current Market Prices","1999","CP12 - Miscellaneous goods and services","Euro Million","4737"
"Consumption of Personal Income at Current Market Prices","1999","CP121 - Personal care","Euro Million","1124"
"Consumption of Personal Income at Current Market Prices","1999","CP123 - Personal effects n.e.c.","Euro Million","374"
"Consumption of Personal Income at Current Market Prices","1999","CP124 - Social protection","Euro Million","214"
"Consumption of Personal Income at Current Market Prices","1999","CP125 - Insurance","Euro Million","1446"
